organization,organization_url,project_summary,year_approved,status,amount,duration
Arizona State University,,"To support the Herberger Institute for Design and the Arts’s CultureHub Phoenix, a set of interrelated projects to cultivate, facilitate, measure, and visualize, and resource new intersections between the arts, Arizona State University, Phoenix, and the larger community.",2016,Closed,"$250,000",24 months
Association of Baltimore Area Grantmakers,http://www.abagrantmakers.org; www.baltimorepartnership.org ,"To support the Association of Baltimore Area Grantmakers in implementing the Baltimore Integration Partnership, which connects low-income Baltimore City residents who are predominately African American to economic opportunity by leveraging resources and the purchasing power of anchor institutions.",2016,Closed,"$127,000",12 months
Brookings Institution,http://www.brookings.edu/metro,"To support the Brookings Institution’s Metro Program, which seeks to help cities and metros adopt economic development and infrastructure investment strategies that generate good jobs, rising incomes, more access, and better opportunities for all workers and families.",2016,Closed,"$600,000",24 months
Center for Family Life,http://www.cflsp.org,"To support the Center for Family Life to develop an innovative model for scaling businesses and by employing replication strategies used at the Arizmendi Bakery, a worker-owned cooperative specializing in baked goods.",2016,Closed,"$45,000",12 months
Center for Innovation in Worker Organization,http://smlr.rutgers.edu/research-centers/CIWO ,"To support the Center for Innovation in Worker Organization’s efforts to expand two programs (the co-enforcement project, and the Building the Bench leadership initiative) designed to build the organizational infrastructure of worker organizations producing job quality measures.",2016,Closed,"$80,000",12 months
Columbia Film Society,www.nickelodeon.org,"To support Indie Grits 2017: Visiones, a four-day festival of film, visual art, music, and more that will explore how Latino and Latin American film, culture, and arts are transforming the American South.",2016,Closed,"$10,000",12 months
Community Labor United,http://massclu.org/,General operating support.,2016,Closed,"$80,000",12 months
Democracy at Work Institute,http://institute.usworker.coop,"To support the Democracy at Work Institute to develop the Workers to Owners program that will spur more businesses converting to worker cooperatives and employee stock ownership plans (ESOPs), with significant potential to increase job quality for low-wage workers of color.",2016,Active,"$750,000",36 months
Design Futures,welcometocup.org,To support the long-term planning efforts of the Design Futures Public Interest Design Student Leadership Forum to expand support to its robust network of thought leaders and to maximize impact on race and equity issues in the field.,2016,Closed,"$50,000",18 months
Designing Justice Designing Spaces                     Spotlight,http://designbridger.com/,"To support Designing Justice + Designing Spaces to lead a community-engagement process in East Oakland, CA, to design a hub for restorative justice and community services that will heal and strengthen neighborhoods stressed by crime, disinvestment, and the threat of gentrification.",2016,Closed,"$50,000",12 months
Detroit Economic Growth Association,http://www.degc.org,"To support the Detroit Economic Growth Association to establish the Detroit African American Business Leadership Council and produce a development equity dashboard to build linkages, encourage collaboration, and launch new enterprises for African Americans in Detroit.",2016,Closed,"$80,000",12 months
"Didtechnology, Inc.",http://www.digitalundivided.com ,"To support Didtechnology, Inc. to implement their BIG Accelerator program, a nine month accelerator program for Black and Latina women tech entrepreneurs located in downtown Atlanta.",2016,Closed,"$100,000",12 months
Downtown Community Television Center,http://www.dctvny.org,"To support the PRO-TV program, which provides free media arts training and professional development to New York City teenagers and young adults.",2016,Closed,"$120,000",27 months
Dream Corps,http://www.greenforall.org,"To support Green For All’s efforts around the Clean Power Plan, organizing 1,000 Black churches and advocating for a 100% clean energy future.",2016,Closed,"$350,000",24 months
DreamYard Project,http://www.dreamyard.com,To support the DreamYard ACTION Project.,2016,Active,"$150,000",36 months
East Bay Community Foundation,http://www.ebcf.org,"To support the East Bay Community Foundation’s capacity and leadership in advancing equitable economic development work in the East Bay and in the Bay Area region by promoting collaboration and consensus among stakeholders for policy change and promising approaches, and by increasing the level of resources and investment from philanthropic, public and corporate donors for this regional work.",2016,Active,"$350,000",24 months
Environmental and Energy Study Institute,http://www.eesi.org,"To support engagement with the federal government, key state and local stakeholders to support community-led transitions to clean energy systems and thriving economies, focusing on the Clean Power Plan and coal-impacted communities.",2016,Closed,"$75,000",12 months
Fair Food,http://www.fairfoodphilly.org,General operating support.,2016,Closed,"$50,000",12 months
Family Values at Work: A Multi-State Consortium,http://www.familyvaluesatwork.org,General operating support.,2016,Active,"$575,000",36 months
"Fractured Atlas Productions, Inc",http://www.fracturedatlas.org,"To support the Cause Collective’s In Search of the Truth, an interactive project in which a portable “Truth Booth” will tour the United States and prompt diverse audiences to complete the statement “The truth is…” in their own words.",2016,Closed,"$50,000",12 months
Franklin and Eleanor Roosevelt Institute,http://www.rooseveltinstitute.org/,"To support the ReFund America Project to develop a set of actionable financing solutions that can help ensure affordable, equitable, and sustainable access to water and that water stays under public control.",2016,Closed,"$150,000",24 months
Greater New Orleans Foundation,http://www.gnof.org,To support the Greater New Orleans Foundation to build on its momentum from the Urban Water Series and strengthen the green infrastructure solutions movement in the City of New Orleans.,2016,Closed,"$275,000",24 months
Green Infrastructure Leadership Exchange,www.giexchange.org,To support the development of the Green Cities Clean Water Exchange.,2016,Closed,"$100,000",12 months
Grist Magazine,http://www.grist.org,General operating support.,2016,Closed,"$75,000",12 months
Groundwork USA,http://www.groundworkusa.org,To develop community-based social enterprises that provide stormwater green infrastructure services and enable low-income communities to build wealth as well as secure environmental benefits of retrofitting the landscape.,2016,Closed,"$200,000",24 months
Gulf Coast Community Design Studio,http://gccds.org,"To support the Gulf Coast Community Design Studio to increase the resilience and equity of the Gulf Coast in the areas of land use, infrastructure, and ecology by advancing community-engagement work.",2016,Closed,"$150,000",24 months
Innovation Network for Communities,www.in4c.net ,General operating support.,2016,Closed,"$150,000",24 months
Japanese American Cultural and Community Center,http://www.jaccc.org,"To support the organization’s general programs and participation in Sustainable Little Tokyo, a community-driven initiative transforming Little Tokyo with a focus on economic, environmental, and cultural/historic sustainability.",2016,Active,"$250,000",36 months
Jobs with Justice Education Fund,http://www.jwj.org,To support the Jobs with Education Fund to develop a project aimed at understanding how best to inform the public so that they understand collective bargaining and collective action as a way to assert the economic and political power of working people.,2016,Closed,"$50,000",12 months
Kentucky Coalition,https://www.kftc.org/,General operating support.,2016,Closed,"$100,000",12 months
"Lakota Funds, Inc",http://www.lakotafunds.org,"To support Native artists on the Pine Ridge Indian reservation by providing access to technical assistance; artist specific trainings; capital for working capital, inventory, and equipment.",2016,Active,"$20,000",25 months
Laundromat Project,www.laundromatproject.org,"To support the Kelly Street Initiative, an innovative, creative community-building program that embeds artists and engages cross-generational residents in nurturing, connecting, and amplifying local creative assets.",2016,Closed,"$40,000",12 months
Los Angeles Alliance for a New Economy,http://www.laane.org,To support Los Angeles adapt to and mitigate the severe drought by investing in water infrastructure projects that leverage community benefits that ensure sustainability and quality employment standards during implementation.,2016,Closed,"$50,000",12 months
Maryland Institute College of Art,http://www.mica.edu,"To support the launch of Baltimore Creatives Acceleration Network (B/CAN), a ten-year initiative to jumpstart an equitable creative economy in Baltimore and build the city’s capacity to support creatives across racial, gender, generational, and disciplinary boundaries. B/CAN will construct a multi-sector, city-wide network that brings quality entrepreneurial training and support to creatives in both planning and just-in-time modes.",2016,Active,"$600,000",36 months
Metropolitan Economic Development Association,www.meda.net,To support the Metropolitan Economic Development Association (MEDA) to build a coherent and integrated ecosystem of business development/support services that will allow businesses to grow and thrive within the Twin Cities and Minnesota region.,2016,Active,"$450,000",36 months
Movement Strategy Center,http://movementstrategy.org,To provide project support for the Senior Fellowship for a Just Community Energy Transition position.,2016,Closed,"$150,000",24 months
National Performance Network,http://www.npnweb.org,To support the strengthening of the organization’s capacity by conducting a successful leadership transition.,2016,Closed,"$50,000",6 months
Neighborhood Funders Group,http://www.nfg.org,"To support the Neighborhood Funders Group to implement Project Phoenix, which aims to build a diverse learning community of funders as a way for philanthropy to support just transitions to the new economy that engage low income and people of color communities.",2016,Closed,"$25,000",12 months
Neighborhoods Organizing for Change,http://www.mnnoc.org,To support Neighborhoods Organizing for Change as part of a statewide coalition – Minnesotans for a Fair Economy (MFE) – to advance a state workers’ rights agenda.,2016,Active,"$300,000",24 months
New Jersey Future,http://www.njfuture.org/,To support two municipalities to develop water infrastructure solutions that address combined sewer overflow problems and provide broader community benefits.,2016,Closed,"$280,000",24 months
New Orleans Business Alliance,http://www.nolaba.org,To support the New Orleans Business Alliance (NOLABA) to create a dedicated Small Business Ecosystem Development work-stream within NOLABA with the aim of creating more accessible on-ramps to economic opportunity for all New Orleanians.,2016,Active,"$375,000",36 months
New York City Environmental Justice Alliance,http://www.NYC-EJA.org,"To support to The New York City Environmental Justice Alliance’s Climate Justice Agenda – a policy framework, recommendations and advocacy campaign designed by low wealth communities and communities of color to create long term meaningful engagement and accountability with NYC public policy.",2016,Closed,"$50,000",12 months
Next City,http://www.nextcity.org,"To support the publication of eighteen pieces of in-depth, original reporting on community-engaged design.",2016,Closed,"$75,000",9 months
Opportunity@Work,www.opportunityatwork.org ,"To support Opportunity@Work’s efforts of accelerating the acquisition of higher wage jobs by underserved populations in struggling communities through their Rhode Island TechHire Learning Lab, a statewide initiative designed to deliver in-demand tech talent for companies in Rhode Island.",2016,Closed,"$100,000",12 months
Partnership for Southern Equity,psequity.org ,"To support a strategic planning process for the Advancing Equity and Opportunity Collaborative, which was formed in 2014 to work towards equitable and transformational energy initiatives across the American South.",2016,Closed,"$25,000",6 months
People's Action Institute,https://peoplesaction.org/ ,"To support Main Street Alliance’s work to educate small business owners in public debates and policy campaigns aimed at improving job quality standards; engage small business owners in the development and implementation of a policy agenda that prioritizes equitable economic development policies; and, develop outreach and engagement strategies aimed at increasing the MSA’s ability to engage business owners at scale.",2016,Active,"$325,000",36 months
People's Emergency Center Community Development Corporation,http://www.pec-cares.org,"To support the incorporation of art and community design into the organization’s core programming. The People’s Emergency Center Community Development Corporation will host Time Exchange, an ongoing artist residency program for six artists per year,  and will implement several community-design and placemaking projects along the Lancaster Avenue corridor.",2016,Active,"$300,000",36 months
Positive Futures Network (YES!),http://www.yesmagazine.org,To support the Positive Futures Network to continue its efforts to diversify its pool of journalists and permanent staff (including annual fellowships for writers of color) at YES! Magazine .,2016,Active,"$375,000",36 months
Queens Museum,http://www.queensmuseum.org,"To support opportunities for artists and cultural producers to address pressing social issues in the surrounding community and engage a broader public via art-making, artists’ residencies, public programs, workshops, and the interpretation of socially engaged art projects.",2016,Closed,"$300,000",36 months
Race Forward,"www.raceforward.org, www.colorlines.com, https://facingrace.raceforward.org/ ","To support Race Forward to implement the Facing Race Conference, Colorlines, and the distribution of the Title VII Report.",2016,Closed,"$100,000",12 months
Raise the Floor Alliance,http://www.raisetheflooralliance.org/,General operating support.,2016,Closed,"$100,000",12 months
Restaurant Opportunities Centers United,www.rocunited.org,General operating support.,2016,Active,"$300,000",36 months
Rutgers University Foundation,http://www.support.rutgers.edu,"To support the Rutgers Cooperative Extension Water Resources Program to expand statewide program that assists New Jersey communities in implementing green infrastructure solutions to stormwater challenges, targeting communities with combined sewer overflow systems.",2016,Active,"$470,000",36 months
Smart Growth America,http://www.smartgrowthamerica.org,General operating support.,2016,Closed,"$550,000",24 months
Southeast Energy Efficiency Alliance,http://seealliance.org,General operating support.,2016,Closed,"$370,000",24 months
"Southwest Georgia Project For Community Education, Inc.",http://www.swgaproject.com/,To support a series of capacity building efforts in order to prepare the organization for operating a food hub and deepening its impact within the Southeast regional food economy.,2016,Closed,"$56,000",12 months
Strategic Actions for a Just Economy,www.saje.net,"To connect to state level campaigns developed by the “Miyako” Network coordinated by long-standing Surdna grantees, Public Advocates and Urban Habitat to ensure equity is integrated into public policy.",2016,Closed,"$150,000",24 months
The American Prospect,http://prospect.org/,General operating support.,2016,Closed,"$125,000",12 months
The City Project,http://www.cityprojectca.org,"To create and implement a collaborative, comprehensive framework for urban infrastructure decision-making in Los Angeles that is socially just, engages low-income communities of color, and improves community resilience.",2016,Closed,"$75,000",12 months
The New York Women's Foundation,www.nywf.org,"To support the New York Women’s Foundation to increase philanthropic investments that expand economic opportunities for young women of color, strengthen community organizations and leadership of young women of color, and promote policy and systems change.",2016,Closed,"$50,000",12 months
THE POINT Community Development Corporation,http://www.thepoint.org,To support the leadership transition at THE POINT CDC and support the organizational health of the institution.,2016,Closed,"$20,000",12 months
"The Regents of the University of California, Berkeley",http://www.berkeley.edu,"To support research that will examine how the collaborations around US Dept of Housing and Urban Development’s Sustainable Communities Initiative emerge, evolve, and sustain themselves, with the idea of uncovering and documenting best practices.",2016,Closed,"$100,000",24 months
The Reinvestment Fund,http://www.reinvestment.com,To support The Reinvestment Fund to amend the Supply Chain Matrix model to address stakeholder feedback from the pilot project and test the viability of the model in a new geographic region.,2016,Closed,"$50,000",12 months
The Solutions Project,www.thesolutionsproject.org,"To support equitable, clean energy transition by facilitating conversations among communities and organizations and resourcing project efforts.",2016,Closed,"$65,000",12 months
The Trustees of the University of Pennsylvania,http://www.sp2.upenn.edu/,"To support the completion of the New York City study of Social Wellbeing, Neighborhood Transformation, and the Arts begun in 2014, and the development of a monograph based on Surdna-funded city studies.",2016,Closed,"$125,000",16 months
The Wooden Floor,http://www.thewoodenfloor.org,"To support efforts to build artistic services for teens by adding core dancing classes to meet growing demand, creating new performance opportunities, developing a residency program to connect teens to new dance works in development by prominent choreographers, and adding multidisciplinary artistic programs to deepen and broaden participants’ exploration of personal and cultural identity.",2016,Active,"$240,000",36 months
Transform Finance,http://www.transformfinance.org,"To support Transform Finance by helping the organization to refine its strategy, build out its staff, and increase its reach and impact in bridging finance and social justice.",2016,Closed,"$175,000",24 months
Trust for Public Land,http://www.tpl.org,To support the Climate-Smart Cities program which works with cities to integrate new green infrastructure tools with an equity lens aiming to improve city decision-making processes and create a clear pathway for greater community leadership on stormwater issues.,2016,Closed,"$400,000",24 months
University of California at San Diego/UCSD Center on Global Justice,http://globaljustice.ucsd.edu/ ,"To support the advancement of a community-design process that will result in a master plan to further develop the EarthLab Community Station, a four-acre outdoor environmental classroom and cultural space in the diverse, underserved neighborhoods of Encanto.",2016,Active,"$150,000",24 months
Winrock International,http://Winrock.org; Wallacecenter.org; NGFN.org ,To support the Wallace Center to create a Community of Practice among the Food LINC Value Chain Coordinators.,2016,Closed,"$150,000",12 months
Woodstock Institute,www.woodstockinst.org,"To support the Woodstock Institute in promoting equitable access to capital for women- and people of color-owned businesses through national research, advocacy, small business leadership, and the dissemination of best practices.",2016,Active,"$250,000",24 months
World Business Chicago,www.worldbusinesschicago.com/case ,"To support Chicago Anchors for a Strong Economy (CASE), a network of Chicago’s leading anchor institutions—hospitals, universities, cultural institutions, corporations, and others committed to putting their purchasing power to work to accelerate economic growth.",2016,Closed,"$150,000",12 months
Yerba Buena Center for the Arts,http://ybca.org,"To support CultureBank, a new model for investing capital and returning value to investors, utilizing both financial and non-financial assets to invest in culture-shifting creative entrepreneurs and their enterprises.",2016,Closed,"$150,000",12 months
Alternate ROOTS,http://www.alternateroots.org,General operating support.,2016,Closed,"$300,000",36 months
Center for American Progress,https://www.americanprogress.org/,"To support the Center for American Progress to advance national messaging on improving labor standards for low-wage workers to further policy solutions that reduce poverty, mitigate inequality and build stronger local economies.",2016,Closed,"$50,000",12 months
Center for Urban Pedagogy,http://www.welcometocup.org,General operating support.,2016,Closed,"$225,000",36 months
Democracy Collaborative Foundation,http://www.DemocracyCollaborative.org,"To support the Democracy Collaborative Foundation’s one day conference in New York City on January 29, 2016, to showcase mayors and economic development leaders leading the way in building community wealth.",2016,Closed,"$60,000",12 months
Dudley Street Neighborhood Initiative,http://www.dsni.org,"To support efforts to organize arts-focused community-engagement activities for Dudley Cultural Village residents, in concert with the development of the City of Boston’s five-year strategic plan and related processes.",2016,Active,"$235,000",36 months
Eastern Market Corporation,www.easternmarket.com ,"To support Eastern Market Corporation in deepening its impact as a food hub in the Midwest by providing economic development services to the Detroit community. A portion of this grant will be redistributed to support capacity building for Eastern Market Corporation’s community partner, Food Lab Detroit.",2016,Closed,"$350,000",24 months
Energy Programs Consortium,www.energyprograms.org,General operating support.,2016,Closed,"$100,000",12 months
Jobs to Move America,www.jobstomoveamerica.org,"To support the expansion of the Jobs to Move America policy into new regions, strengthen it where it has been used, support building the federal infrastructure that supports the policy, and grow the Los Angeles Alliance for a New Economy’s national communications program.",2016,Closed,"$750,000",36 months
Make the Road New York,www.maketheroadny.org/,To support Make the Road New York’s efforts to organize and educate the mainland Puerto Rican Diaspora on the local impacts of the Island’s economic crisis.,2016,Closed,"$50,000",12 months
Marwen Foundation,http://www.marwen.org,"To support Marwen Lab, a year-long program offering thirty students intensive training in each participant’s chosen discipline, regular studio critiques, artist statement workshops, and college counseling.",2016,Active,"$200,000",36 months
Ms. Foundation for Women,www.forwomen.org ,"To support Ms. Foundation for Women to connect a national Women’s Economic Agenda (WEA), as well as support formation of WEAs in three states across the South; increase access to quality jobs and entrepreneurship opportunities for women; explore gender equity-based impact investing in advancing women’s economic justice and security.",2016,Closed,"$200,000",24 months
Museum for Contemporary Arts - The Contemporary,www.contemporary.org,"To support The Contemporary’s efforts to organize an Artist Retreat for practitioners in the Baltimore area. The four-day convening will focus on three main areas: professional development, networking, and community building.",2016,Closed,"$25,000",12 months
National Black Worker Center Project,www.Nationalblackworkercenters.org,To support the National Black Worker Center Project to implement a national campaign to change the narrative concerning the causes and solutions of the Black job crisis and the expansion of the network from 3 to 10 affiliates by the end of 2017.,2016,Closed,"$190,000",24 months
Pangea World Theater,http://www.pangeaworldtheater.org,"To support three of Pangea World Theater’s signature programs: 1) the National Institute of Directing and Ensemble Creation; 2) Race, North and South on the Mississippi; and 3) Lake Street Arts!",2016,Closed,"$225,000",36 months
Partnership for Southern Equity,psequity.org ,To support Partnership for Southern Equity provide capacity building to local and regional government agencies to develop and apply an equity analysis to investment decisions.,2016,Closed,"$100,000",24 months
Pittsburgh United,http://www.cleanriverscampaign.org,"To support green infrastructure education, advocacy and engagement efforts to maximize environmental, social and economic benefits, especially for underrepresented communities.",2016,Closed,"$250,000",24 months
Rising Tide Capital,http://www.RisingTideCapital.org,General operating support.,2016,Closed,"$45,000",12 months
Rockefeller Philanthropy Advisors,www.rockpa.org,"To support the planning and development of USArtPartners, a new national collaboration between artists and other partners interested in social change. USArtPartners will make introductions, nurture connections, align systems, and curate a focused portfolio of five projects.",2016,Closed,"$100,000",12 months
Southwest Folklife Alliance,www.southwestfolklife.org and http://www.tucsonmeetyourself.org,General operating support.,2016,Closed,"$150,000",36 months
STAR Communities,http://www.starcommunities.org/,To support STAR Communities’ efforts to strategically increase U.S. cities participation in and application of the rating system; and develop new standards and tools to improve access to data collection.,2016,Closed,"$175,000",18 months
Thunder Valley Community Development Corporation,http://www.ThunderValley.org,"To support the planning and design of the second phase of Regenerative Community Development. Community input, with a particular focus on the engagement of local artists, will inform the how the spaces are designed and programmed.",2016,Closed,"$300,000",36 months
Transportation Choices Coalition,http://www.transportationchoices.org,To support a statewide coalition in Washington to integrate equity and project performance metrics into transportation infrastructure decisions.,2016,Active,"$525,000",36 months
University of Detroit Mercy Detroit Collaborative Design Center,http://www.udmercy.edu,To support community collaborations and participatory community design for the Detroit Collaborative Design Center with urban neighborhoods and communities that are often ignored or excluded from the decision-making process.,2016,Closed,"$225,000",36 months
Winrock International,http://Winrock.org; Wallacecenter.org; NGFN.org ,"To support the Wallace Center’s expansion of the National Good Food Network and build a regional food economies working group, fellows program and strategic communications that expands the national dialogue to emphasize economic impact.",2016,Closed,"$375,000",24 months
Wisconsin Jobs Now Organizing Foundation,www.wisconsinjobsnow.org ,To support the Wisconsin Jobs Now Organizing Foundation (WJN) in exploring future investment opportunities for the Surdna Foundation in Milwaukee and to support WJN’s executive leadership and direction.,2016,Closed,"$10,000",12 months
Young Chicago Authors,http://www.youngchicagoauthors.org,"To provide closeout support for Public Workshops and the Crossing the Street youth poetry symposium. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2016,Active,"$225,000",36 months
Young Nation,http://youngnation.us/,General operating support.,2016,Closed,"$150,000",36 months
Asian Arts Initiative,http://www.asianartsinitiative.org,General operating support.,2015,Closed,"$225,000",36 months
Center for Cultural Innovation,http://www.cciarts.org,"To support field engagement, documentation, and dissemination activities related to Expanding Investments in Creatives, a 12-month study of the creative ecosystem of contemporary support systems for American artists.",2015,Closed,"$100,000",21 months
Democracy at Work Institute,http://institute.usworker.coop,"To support the Democracy at Work Institute to build critical groundwork for Workers to Owners, a national collaborative to spur more businesses converting to worker cooperatives, with significant potential to increase job quality for low-wage workers of color.",2015,Closed,"$30,000",12 months
Farm Fresh Rhode Island,http://www.farmfreshri.org,To support Farm Fresh in developing its capacity and infrastructure to get locally grown products into large-scale kitchens in Rhode Island and Massachusetts.,2015,Closed,"$150,000",24 months
Fourth Sector Network,www.fourthsector.net,"To support the Fourth Sector Network’s (FSN)—an expanding network of organization working to advance “for-benefit” enterprise—effort in designing and launching an Institute to meet the demand for more convenings, policy analysis, and project support.",2015,Closed,"$47,000",12 months
Greater Baltimore Cultural Alliance,http://baltimoreculture.org,"To support the incubation of the Urban Arts Leadership Program, an initiative to increase the diversity of the regional cultural workforce by offering aspiring administrators of color a pipeline for professional development, networking opportunities, and paid fellowship placements.",2015,Closed,"$50,000",12 months
Hester Street Collaborative,http://hesterstreet.org,General operating support.,2015,Closed,"$375,000",36 months
Local Initiatives Support Corporation New York City,http://www.lisc.org,"To support efforts to develop, synthesize, publish, and disseminate knowledge about arts-based community-development strategies and results in low-income communities, drawing on the experience of the organization’s Creative Placemaking Initiative.",2015,Closed,"$190,000",24 months
Lower Manhattan Cultural Council,http://www.lmcc.net,"To support activities to document, evaluate, and share the Arts East River Waterfront initiative with artists, partners, and other key stakeholders involved in building equitable and vibrant communities.",2015,Closed,"$90,000",12 months
Metropolitan Organizing Strategy Enabling Strength,www.mosesmi.org	,To assess existing pro-transit groups across the country and develop a comprehensive report to define strategies for national groups to collaborate efforts to drive transportation reform.,2015,Closed,"$35,000",12 months
"National League of Cities Institute, Inc",http://www.nlc.org/,To support the National League of Cities Institute in hosting the Equitable Economic Fellowship along side with PolicyLink and the Urban Land Institute.,2015,Active,"$700,000",24 months
National Organization of Minority Architects Charitable and Education Foundation,www.nomala.org,To support the Design as Protest workshop at the 2015 National Organization of Minority Architects Conference.,2015,Closed,"$20,000",12 months
New Orleans Startup Fund,http://www.powermovesnola.org/; http://www.neworleansstartupfund.org,To support the New Orleans Startup Fund to launch PowerMoves@Miami at Black Tech Week in Miami.,2015,Closed,"$45,000",12 months
New York Foundation,,To support the Neighborhoods First Fund to support community-engaged planning with grants to community-based organizations and resource allies that are working in neighborhoods targeted for rezoning or major development by Housing New York.,2015,Active,"$450,000",36 months
Public Advocates Inc.,http://www.publicadvocates.org/,To support local and regional social justice advocates in California to shape and advance state policies that will align equity outcomes with investment in the built environment and infrastructure developments.,2015,Closed,"$450,000",36 months
Soulsville Foundation,http://www.staxmusicacademy.org / www.soulsvillefoundation.org,"To support the SNAP! Afterschool Senior Academy Program, serving middle- and high-school students, ages 13-18.",2015,Closed,"$50,000",12 months
"Vernon Avenue Project, Inc.",www.reconnectcommunity.org,General operating support.,2015,Closed,"$60,000",12 months
American Sustainable Business Institute,http://www.ASBCouncil.org,To support the American Sustainable Business Council to identify policies that create favorable conditions for businesses to adopt high-road employment practices and partner with BFMW to support higher minimum wages.,2015,Closed,"$350,000",24 months
Anchorage Museum,http://www.anchoragemuseum.org,"To support Polar Lab: View from Up Here, a three-year series of exhibitions and programs that explores the relevancy of the North and examines stereotypes to present a contemporary, complex and authentic view of the region and its people.",2015,Closed,"$150,000",36 months
Black Organizing for Leadership & Dignity,http://www.thepraxisproject.org,To support Black Organizing for Leadership and Dignity to strengthen infrastructure for emerging Black leadership leading transformative community-based organizing for healthy and sustainable communities.,2015,Closed,"$50,000",12 months
Business Alliance for Local Living Economies,http://www.bealocalist.org,To support the Business Alliance for Local Living Economies’ Local Economy Fellowship program to build the capacity and connectivity of those who have effectively organized for economic justice with those focused on business models that decentralize business ownership and build collaborations to solve social and economic issues.,2015,Closed,"$250,000",24 months
Cincinnati USA Regional Chamber Foundation,http://www.cincinnatichamber.com/,To support the Cincinnati USA Regional Chamber’s Minority Business Accelerator to provide capacity growth management services to high potential African American and Hispanic firms in Cincinnati to push towards accelerated growth and the increased employment of those firms.,2015,Closed,"$150,000",12 months
Economic Policy Institute,http://www.epi.org,General operating support.,2015,Active,"$450,000",36 months
Funders' Network for Smart Growth and Livable Communities,http://www.fundersnetwork.org,"To engage funders in opportunities to create more sustainable and prosperous regions and communities by supporting funder working groups: Federal Reserve-Philanthropy Initiative, GREEN; Stormwater Funders’ Group; Restoring Prosperity in Older Industrial Cities; and the PLACES fellowship program.",2015,Closed,"$150,000",12 months
Grantmakers in the Arts,http://www.giarts.org,To support the racial equity program track for the 2015 annual Grantmakers in the Arts conference.,2015,Closed,"$10,000",12 months
Groundswell Community Mural Project,www.groundswell.nyc,To support the capstone Portfolio Development art-making program for young people interested in creating portfolios of their artwork for college and scholarship applications.,2015,Closed,"$100,000",24 months
Inner City Advisors,www.icafundgoodjobs.org ,General operating support.,2015,Closed,"$150,000",12 months
"Massachusetts Museum of Contemporary Art Foundation, Inc.",massmoca.org/assetsforartists.org,To support the testing and development of the Assets for Artists toolkit as a strategy for creative place-making.,2015,Closed,"$150,000",36 months
National Domestic Workers Alliance,http://www.domesticworkers.org,"To support the National Domestic Workers Alliance (NDWA) in improving job quality in the domestic work and care industry, through the development of a career lattice framework and credentialing platform, raising standards in the fast-growing online domestic work and care marketplace, and developing its own technology tools to influence the market.",2015,Active,"$675,000",36 months
PolicyLink,http://www.policylink.org,General operating support.,2015,Active,"$600,000",36 months
Rebuild Foundation,http://rebuild-foundation.squarespace.com/,"To support the production of the Black Artists Retreat and the Public Programs of the Dorchester Art+Housing Collaborative, two ongoing programs that engage Chicago’s South Side community and beyond.",2015,Active,"$225,000",36 months
Sundance Institute,http://www.sundance.org,"To support the Native American and Indigenous Film Program, which supports most innovative and exciting Native and Indigenous film storytellers working today, including emerging and established filmmakers creating feature films, short films, episodic content, and multimedia works.",2015,Closed,"$300,000",36 months
"Sustainable Business Education Initiative, Inc.",http://www.sbnphiladelphia.org,To support the Sustainable Business Network’s ongoing efforts to bolster the local economy in the Philadelphia region with a Green Stormwater Industry focus.,2015,Closed,"$300,000",24 months
The Albert Jr. and Tina Small Center for Collaborative Design at Tulane School of Architecture,http://www.tulanecitycenter.org,"To support the development and refinement of the Explore stream of work, in which the organization will work with community partners to research an issue affecting New Orleans or one of its neighborhoods and to create a set of visual materials that articulate the issue and propose a set of equitable solutions.",2015,Closed,"$120,000",12 months
United States Artists,http://unitedstatesartists.org,"To support the 2016 and 2017 Artists Assembly, which provides opportunities for artists to engage with national and local arts leaders and fellow artists in discussions addressing professional issues, new ideas, and collaborations.",2015,Closed,"$60,000",24 months
University of New Mexico School of Architecture and Planning,http://saap.unm.edu/,To provide operating support for the Indigenous Design and Planning Institute.,2015,Closed,"$100,000",24 months
ALIGN: the Alliance for a Greater New York,http://www.alignny.org,"To support the adoption of Jobs to Move America transportation procurement and quality jobs initiative in New York, Chicago and Illinois and build capacity for the local campaign.",2015,Closed,"$150,000",12 months
American Council for an Energy-Efficient Economy,http://www.aceee.org,To expand the role of local and state-level engagement on energy issues in long-term planning for emissions reductions opportunities and utilities of the future.,2015,Closed,"$200,000",24 months
Arizona State University Foundation,http://www.asufoundation.org,"To support NOGALES, a new play by Richard Montoya and Sean San Jose, with Visual and Community Engagement Design by Joan Osato. The artists are creating an immersive platform for a play that includes a state-wide community engagement project, film, media, and site-specific installation and interventions in Arizona.",2015,Closed,"$107,000",24 months
"Arts, Culture and Social Justice Network",www.alternateroots.org,"To support the Arts, Culture and Social Justice Network, which will create a national collaborative network of art leadership and will investigate and build on the practice of art and social change.",2015,Closed,"$30,000",12 months
"Artspace, Inc",http://www.artspacenh.org,"To support The Jerome Project. Created by Titus Kaphar, this project highlights the urgent need for the reform of our criminal justice system. Kaphar will engage with currently and previously incarcerated individuals–all named Jerome–to create a series of paintings, sculptures, experimental documentary, and community convenings.",2015,Closed,"$82,000",12 months
